ERROR @ 2011-11-11 20:24:35,684 [main] (DescriptionScanner.java:96) - Error : Index directory is missing!
 INFO @ 2011-11-15 17:04:02,637 [main] (IndexScanner.java:45) - 253 OK
 INFO @ 2011-11-15 17:04:02,637 [main] (IndexScanner.java:45) - 254 OK
 INFO @ 2011-11-15 17:04:02,637 [main] (IndexScanner.java:45) - 255 OK
 INFO @ 2011-11-15 17:04:02,637 [main] (IndexScanner.java:45) - 256 OK
 INFO @ 2011-11-15 17:04:02,637 [main] (IndexScanner.java:45) - 257 OK
 INFO @ 2011-11-15 17:04:02,637 [main] (IndexScanner.java:45) - 258 OK
 INFO @ 2011-11-15 17:04:02,638 [main] (IndexScanner.java:45) - 259 OK
 INFO @ 2011-11-15 17:04:02,638 [main] (IndexScanner.java:45) - 260 OK
 INFO @ 2011-11-15 17:04:02,638 [main] (IndexScanner.java:45) - 261 OK
 INFO @ 2011-11-15 17:04:02,638 [main] (IndexScanner.java:45) - 262 OK
 INFO @ 2011-11-15 17:04:02,638 [main] (IndexScanner.java:45) - 263 OK
 INFO @ 2011-11-15 17:04:02,639 [main] (IndexScanner.java:45) - 264 OK
 INFO @ 2011-11-15 17:04:02,639 [main] (IndexScanner.java:45) - 265 OK
 INFO @ 2011-11-15 17:04:02,640 [main] (IndexScanner.java:45) - 266 OK
 INFO @ 2011-11-15 17:04:02,641 [main] (IndexScanner.java:45) - 267 OK
 INFO @ 2011-11-15 17:04:02,641 [main] (IndexScanner.java:45) - 268 OK
 INFO @ 2011-11-15 17:04:02,641 [main] (IndexScanner.java:45) - 269 OK
 INFO @ 2011-11-15 17:04:02,641 [main] (IndexScanner.java:45) - 270 OK
 INFO @ 2011-11-15 17:04:02,641 [main] (IndexScanner.java:45) - 271 OK
 INFO @ 2011-11-15 17:04:02,642 [main] (IndexScanner.java:45) - 272 OK
 INFO @ 2011-11-15 17:04:02,642 [main] (IndexScanner.java:45) - 273 OK
 INFO @ 2011-11-15 17:04:02,642 [main] (IndexScanner.java:45) - 274 OK
 INFO @ 2011-11-15 17:04:02,642 [main] (IndexScanner.java:45) - 275 OK
 INFO @ 2011-11-15 17:04:02,642 [main] (IndexScanner.java:45) - 276 OK
 INFO @ 2011-11-15 17:04:02,643 [main] (IndexScanner.java:45) - 277 OK
 INFO @ 2011-11-15 17:04:02,643 [main] (IndexScanner.java:45) - 278 OK
 INFO @ 2011-11-15 17:04:02,643 [main] (IndexScanner.java:45) - 279 OK
 INFO @ 2011-11-15 17:04:02,643 [main] (IndexScanner.java:45) - 280 OK
 INFO @ 2011-11-15 17:04:02,644 [main] (IndexScanner.java:45) - 281 OK
 INFO @ 2011-11-15 17:04:02,644 [main] (IndexScanner.java:45) - 282 OK
 INFO @ 2011-11-15 17:04:02,645 [main] (IndexScanner.java:45) - 283 OK
 INFO @ 2011-11-15 17:04:02,645 [main] (IndexScanner.java:45) - 284 OK
 INFO @ 2011-11-15 17:04:02,645 [main] (IndexScanner.java:45) - 285 OK
 INFO @ 2011-11-15 17:04:02,645 [main] (IndexScanner.java:45) - 286 OK
 INFO @ 2011-11-15 17:04:02,645 [main] (IndexScanner.java:45) - 287 OK
 INFO @ 2011-11-15 17:04:02,646 [main] (IndexScanner.java:45) - 288 OK
 INFO @ 2011-11-15 17:04:02,646 [main] (IndexScanner.java:45) - 289 OK
 INFO @ 2011-11-15 17:04:02,646 [main] (IndexScanner.java:45) - 290 OK
 INFO @ 2011-11-15 17:04:02,646 [main] (IndexScanner.java:45) - 291 OK
 INFO @ 2011-11-15 17:04:02,646 [main] (IndexScanner.java:45) - 292 OK
 INFO @ 2011-11-15 17:04:02,646 [main] (IndexScanner.java:45) - 293 OK
 INFO @ 2011-11-15 17:04:02,647 [main] (IndexScanner.java:45) - 294 OK
 INFO @ 2011-11-15 17:04:02,647 [main] (IndexScanner.java:45) - 295 OK
 INFO @ 2011-11-15 17:04:02,647 [main] (IndexScanner.java:45) - 296 OK
 INFO @ 2011-11-15 17:04:02,647 [main] (IndexScanner.java:45) - 297 OK
 INFO @ 2011-11-15 17:04:02,647 [main] (IndexScanner.java:45) - 298 OK
 INFO @ 2011-11-15 17:04:02,648 [main] (IndexScanner.java:45) - 299 OK
 INFO @ 2011-11-15 17:04:02,648 [main] (IndexScanner.java:45) - 300 OK
 INFO @ 2011-11-15 17:04:02,648 [main] (IndexScanner.java:45) - 301 OK
 INFO @ 2011-11-15 17:04:02,648 [main] (IndexScanner.java:45) - 302 OK
 INFO @ 2011-11-15 17:04:02,648 [main] (IndexScanner.java:45) - 303 OK
 INFO @ 2011-11-15 17:04:02,649 [main] (IndexScanner.java:45) - 304 OK
 INFO @ 2011-11-15 17:04:02,649 [main] (IndexScanner.java:45) - 305 OK
 INFO @ 2011-11-15 17:04:02,649 [main] (IndexScanner.java:45) - 306 OK
 INFO @ 2011-11-15 17:04:02,649 [main] (IndexScanner.java:45) - 307 OK
 INFO @ 2011-11-15 17:04:02,649 [main] (IndexScanner.java:45) - 308 OK
 INFO @ 2011-11-15 17:04:02,649 [main] (IndexScanner.java:45) - 309 OK
